family,verbatimScientificName
Orobanchaceae,Castilleja rhexiifolia
Ranunculaceae,Pulsatilla nuttalliana
Orobanchaceae,Pedicularis groenlandica
Polemoniaceae,Polemonium pulcherrimum
Montiaceae,Claytonia megarhiza
Caryophyllaceae,Eremogone fendleri
Primulaceae,Primula parryi
Montiaceae,Claytonia megarhiza
Melanthiaceae,Veratrum californicum
Asteraceae,Hymenoxys grandiflora
Ranunculaceae,Aquilegia coerulea
Gentianaceae,Gentiana algida
Gentianaceae,Gentiana parryi
Asteraceae,Cirsium scopulorum
Asteraceae,Antennaria umbrinella
Rosaceae,Fragaria virginiana
Caryophyllaceae,Cerastium beeringianum
Fabaceae,Trifolium parryi
Liliaceae,Gagea serotina
Brassicaceae,Smelowskia americana
Gentianaceae,Swertia perennis
Caryophyllaceae,Silene acaulis
Asteraceae,Cirsium vulgare
Orobanchaceae,Castilleja rhexiifolia
Caryophyllaceae,Silene acaulis
Plantaginaceae,Penstemon whippleanus
Rosaceae,Geum rossii
Pinaceae,Abies lasiocarpa
Caryophyllaceae,Cherleria obtusiloba
Ranunculaceae,Anemonastrum zephyrum
Polygonaceae,Bistorta bistortoides
Ranunculaceae,Aquilegia saximontana
Crassulaceae,Rhodiola integrifolia
Rosaceae,Dryas hookeriana
Rosaceae,Geum rossii
Ericaceae,Vaccinium cespitosum
Polemoniaceae,Polemonium pulcherrimum delicatum
Boraginaceae,Eritrichium argenteum
Orobanchaceae,Castilleja rhexiifolia
Gentianaceae,Gentiana algida
Asteraceae,Helianthella quinquenervis
Crassulaceae,Rhodiola integrifolia
Asteraceae,Achillea millefolium
Fabaceae,Astragalus molybdenus
Asteraceae,Hymenoxys grandiflora
Polygonaceae,Oxyria digyna
Asteraceae,Senecio bigelovii
Liliaceae,Gagea serotina
Orobanchaceae,Castilleja rhexiifolia
Fabaceae,Trifolium attenuatum
Plantaginaceae,Penstemon whippleanus
Asteraceae,Cirsium griseum osterhoutii
Rosaceae,Dryas hookeriana
Gentianaceae,Gentiana algida
Plantaginaceae,Veronica wormskjoldii
Polygonaceae,Bistorta bistortoides
Ranunculaceae,Anemone multifida
Ranunculaceae,Caltha chionophila
Asteraceae,Cirsium funkiae
Crassulaceae,Sedum lanceolatum
Ranunculaceae,Trollius albiflorus
Brassicaceae,Smelowskia americana
Boraginaceae,Eritrichium argenteum
Gentianaceae,Gentianopsis thermalis
Hydrophyllaceae,Phacelia sericea
Asteraceae,Hymenoxys grandiflora
Apiaceae,Oreoxis alpina
Asteraceae,Artemisia borealis
Orobanchaceae,Castilleja rhexiifolia
Melanthiaceae,Anticlea elegans
Primulaceae,Primula parryi
Asteraceae,Achillea millefolium
Fabaceae,Trifolium dasyphyllum
Asteraceae,Hymenoxys grandiflora
Saxifragaceae,Micranthes oregana
Fabaceae,Trifolium dasyphyllum
Liliaceae,Erythronium grandiflorum
Asteraceae,Cirsium funkiae
Primulaceae,Androsace septentrionalis
Ranunculaceae,Delphinium barbeyi
Asteraceae,Hymenoxys grandiflora
Caryophyllaceae,Silene acaulis
Crassulaceae,Rhodiola integrifolia
Asteraceae,Hymenoxys hoopesii
Asteraceae,Cirsium arvense
Crassulaceae,Sedum lanceolatum
Crassulaceae,Rhodiola integrifolia
Asteraceae,Senecio amplectens
Poaceae,Poa alpina
Gentianaceae,Gentianella amarella
Caryophyllaceae,Cherleria obtusiloba
Orobanchaceae,Castilleja rhexiifolia
Cupressaceae,Juniperus communis
Polygonaceae,Bistorta bistortoides
Caryophyllaceae,Cherleria obtusiloba
Plantaginaceae,Veronica wormskjoldii
Orobanchaceae,Castilleja septentrionalis
Primulaceae,Androsace septentrionalis
Ranunculaceae,Trollius albiflorus
Plantaginaceae,Chionophila jamesii
Montiaceae,Claytonia megarhiza megarhiza
Saxifragaceae,Saxifraga bronchialis
Apiaceae,Podistera eastwoodiae
Asteraceae,Hymenoxys grandiflora
Rosaceae,Geum rossii
Asteraceae,Cirsium griseum osterhoutii
Plantaginaceae,Veronica besseya
Ranunculaceae,Aquilegia coerulea
Caryophyllaceae,Cherleria obtusiloba
Asteraceae,Hymenoxys grandiflora
Caryophyllaceae,Silene acaulis
Asteraceae,Achillea millefolium
Ranunculaceae,Aquilegia coerulea
Crassulaceae,Rhodiola rhodantha
Rosaceae,Geum rossii
Gentianaceae,Gentiana parryi
Orobanchaceae,Castilleja miniata
Polygonaceae,Eriogonum coloradense
Gentianaceae,Gentiana algida
Orobanchaceae,Pedicularis groenlandica
Montiaceae,Claytonia megarhiza
Asteraceae,Hymenoxys grandiflora
Plantaginaceae,Penstemon whippleanus
Boraginaceae,Eritrichium argenteum
Polemoniaceae,Polemonium viscosum
Crassulaceae,Rhodiola rhodantha
Gentianaceae,Swertia perennis
Pteridaceae,Cryptogramma acrostichoides
Ranunculaceae,Aquilegia coerulea
Gentianaceae,Frasera speciosa
Asteraceae,Hymenoxys grandiflora
Lycopodiaceae,Spinulum annotinum
Asteraceae,Senecio amplectens holmii
Brassicaceae,Noccaea fendleri
Orobanchaceae,Castilleja miniata
Asteraceae,Achillea millefolium
Boraginaceae,Eritrichium argenteum
Crassulaceae,Rhodiola integrifolia
Liliaceae,Gagea serotina
Plantaginaceae,Veronica ritteriana
Pinaceae,Pinus aristata
Montiaceae,Lewisia pygmaea
Rosaceae,Sibbaldia procumbens
Polygonaceae,Bistorta bistortoides
Onagraceae,Chamaenerion angustifolium
Ranunculaceae,Aquilegia coerulea
Crassulaceae,Sedum lanceolatum
Brassicaceae,Physaria alpina
Pinaceae,Pinus aristata
Fabaceae,Oxytropis podocarpa
Fabaceae,Oxytropis parryi
Boraginaceae,Mertensia lanceolata
Fabaceae,Trifolium parryi
Asteraceae,Achillea millefolium
Montiaceae,Claytonia megarhiza
Polemoniaceae,Phlox condensata
Saxifragaceae,Micranthes odontoloma
Hydrophyllaceae,Phacelia sericea sericea
Rosaceae,Geum rossii
Orobanchaceae,Pedicularis bracteosa
Saxifragaceae,Saxifraga bronchialis
Polemoniaceae,Polemonium viscosum
Onagraceae,Chamaenerion angustifolium
Saxifragaceae,Micranthes rhomboidea
Polygonaceae,Bistorta bistortoides
Asteraceae,Hymenoxys grandiflora
Orobanchaceae,Pedicularis groenlandica
Rosaceae,Dryas hookeriana
Orobanchaceae,Castilleja miniata
Montiaceae,Claytonia megarhiza
Orchidaceae,Platanthera dilatata
Orobanchaceae,Castilleja occidentalis
Ranunculaceae,Aquilegia coerulea
Rosaceae,Geum rossii
Brassicaceae,Erysimum capitatum
Asteraceae,Cirsium griseum osterhoutii
Ranunculaceae,Delphinium barbeyi
Orobanchaceae,Pedicularis parryi
Montiaceae,Claytonia megarhiza
Orobanchaceae,Castilleja septentrionalis
Montiaceae,Claytonia megarhiza
Poaceae,Deschampsia cespitosa
Crassulaceae,Rhodiola rhodantha
Asteraceae,Artemisia scopulorum
Polemoniaceae,Polemonium viscosum
Rosaceae,Ivesia gordonii
Fabaceae,Trifolium brandegeei
Fabaceae,Oxytropis deflexa
Caryophyllaceae,Cherleria obtusiloba
Asteraceae,Senecio amplectens holmii
Crassulaceae,Sedum lanceolatum
Primulaceae,Primula angustifolia
Violaceae,Viola adunca
Boraginaceae,Eritrichium argenteum
Caryophyllaceae,Silene acaulis
Asteraceae,Cirsium griseum osterhoutii
Orobanchaceae,Castilleja rhexiifolia
Crassulaceae,Rhodiola integrifolia
Brassicaceae,Erysimum capitatum
Brassicaceae,Noccaea fendleri
Asteraceae,Senecio bigelovii
Caryophyllaceae,Silene acaulis
Fabaceae,Hedysarum occidentale
Gentianaceae,Gentiana parryi
Crassulaceae,Rhodiola rhodantha
Fabaceae,Trifolium nanum
Crassulaceae,Rhodiola integrifolia
Caryophyllaceae,Cherleria obtusiloba
Gentianaceae,Gentiana algida
Orobanchaceae,Pedicularis groenlandica
Rosaceae,Dryas hookeriana
Asteraceae,Hymenoxys grandiflora
Campanulaceae,Campanula petiolata
Ranunculaceae,Delphinium barbeyi
Gentianaceae,Swertia perennis
Polygonaceae,Bistorta vivipara
Gentianaceae,Gentiana parryi
Caryophyllaceae,Cherleria obtusiloba
Brassicaceae,Noccaea fendleri
Rosaceae,Geum rossii
Salicaceae,Salix planifolia
Orobanchaceae,Pedicularis groenlandica
Fabaceae,Trifolium dasyphyllum
Brassicaceae,Noccaea fendleri
Crassulaceae,Sedum lanceolatum
Gentianaceae,Gentianella amarella
Orobanchaceae,Castilleja rhexiifolia
Saxifragaceae,Saxifraga hirculus
Rosaceae,Geum rossii
Rosaceae,Geum rossii
Gentianaceae,Frasera speciosa
Caryophyllaceae,Paronychia pulvinata
Asteraceae,Cirsium scopulorum
Orobanchaceae,Castilleja rhexiifolia
Caprifoliaceae,Valeriana acutiloba
Fabaceae,Hedysarum occidentale
Polemoniaceae,Polemonium pulcherrimum delicatum
Orobanchaceae,Castilleja occidentalis
Polygonaceae,Bistorta vivipara
Hydrophyllaceae,Phacelia sericea
Montiaceae,Claytonia megarhiza
Asteraceae,Hieracium triste
Hydrophyllaceae,Phacelia hastata
Ranunculaceae,Aquilegia coerulea
Brassicaceae,Physaria alpina
Brassicaceae,Draba exunguiculata
Polemoniaceae,Polemonium pulcherrimum
Orobanchaceae,Castilleja occidentalis
Caryophyllaceae,Eremogone fendleri
Boraginaceae,Eritrichium argenteum
Plantaginaceae,Penstemon whippleanus
Rosaceae,Geum rossii turbinatum
Apiaceae,Podistera eastwoodiae
Asteraceae,Erigeron glacialis
Saxifragaceae,Heuchera parvifolia
Polygonaceae,Bistorta bistortoides
Crassulaceae,Sedum lanceolatum
Asteraceae,Antennaria rosea
Polygonaceae,Bistorta bistortoides
Ranunculaceae,Delphinium barbeyi
Montiaceae,Lewisia pygmaea
Montiaceae,Claytonia lanceolata
Caryophyllaceae,Cherleria obtusiloba
Ranunculaceae,Ranunculus adoneus
Ranunculaceae,Caltha chionophila
Caryophyllaceae,Cherleria obtusiloba
Violaceae,Viola adunca
Saxifragaceae,Saxifraga bronchialis austromontana
Rosaceae,Sibbaldia procumbens
Ericaceae,Arctostaphylos uva-ursi
Asteraceae,Hymenoxys grandiflora
Primulaceae,Primula pauciflora
Saxifragaceae,Saxifraga bronchialis
Caryophyllaceae,Cherleria obtusiloba
Montiaceae,Claytonia megarhiza
Rosaceae,Dasiphora fruticosa
Primulaceae,Primula parryi
Asteraceae,Hymenoxys grandiflora
Rosaceae,Geum rossii
Asteraceae,Senecio soldanella
Orobanchaceae,Pedicularis groenlandica
Crassulaceae,Sedum lanceolatum
Gentianaceae,Frasera speciosa
Montiaceae,Claytonia megarhiza
Crassulaceae,Rhodiola rhodantha
Brassicaceae,Erysimum capitatum
Fabaceae,Oxytropis sericea
Asteraceae,Packera cana
Hydrophyllaceae,Phacelia sericea
Caryophyllaceae,Silene acaulis
Brassicaceae,Physaria alpina
Asteraceae,Askellia pygmaea
Campanulaceae,Campanula petiolata
Rosaceae,Rubus idaeus
Crassulaceae,Rhodiola integrifolia
Polemoniaceae,Polemonium viscosum
Polemoniaceae,Polemonium confertum
Boraginaceae,Mertensia ciliata
Orobanchaceae,Pedicularis parryi
Asteraceae,Hymenoxys grandiflora
Hydrophyllaceae,Phacelia bakeri
Orobanchaceae,Pedicularis parryi
Primulaceae,Androsace lehmanniana
Polemoniaceae,Phlox condensata
Fabaceae,Trifolium dasyphyllum
Caryophyllaceae,Silene acaulis
Brassicaceae,Cardamine cordifolia
Crassulaceae,Sedum lanceolatum
Plantaginaceae,Penstemon whippleanus
Gentianaceae,Swertia perennis
Brassicaceae,Noccaea fendleri
Rosaceae,Geum rossii
Orobanchaceae,Pedicularis racemosa
Orobanchaceae,Castilleja rhexiifolia
Rosaceae,Geum rossii
Asteraceae,Senecio atratus
Fabaceae,Trifolium nanum
Caryophyllaceae,Silene acaulis
Saxifragaceae,Micranthes oregana
Asteraceae,Hymenoxys grandiflora
Caprifoliaceae,Valeriana acutiloba
Brassicaceae,Physaria alpina
Asteraceae,Hymenoxys grandiflora
Plantaginaceae,Penstemon harbourii
Crassulaceae,Sedum lanceolatum
Asteraceae,Hymenoxys grandiflora
Crassulaceae,Rhodiola integrifolia
Plantaginaceae,Penstemon hallii
Gentianaceae,Gentiana algida
Polygonaceae,Oxyria digyna
Polemoniaceae,Phlox condensata
Montiaceae,Lewisia pygmaea
Ranunculaceae,Delphinium barbeyi
Ranunculaceae,Aquilegia coerulea
Ranunculaceae,Caltha chionophila
Orobanchaceae,Pedicularis parryi
Fabaceae,Trifolium parryi
Orobanchaceae,Castilleja occidentalis
Gentianaceae,Swertia perennis
Polemoniaceae,Polemonium viscosum
Fabaceae,Trifolium dasyphyllum
Ranunculaceae,Anemone multifida
Hydrophyllaceae,Phacelia sericea
Gentianaceae,Gentiana prostrata
Polemoniaceae,Polemonium pulcherrimum
Asteraceae,Senecio triangularis
Asteraceae,Hymenoxys grandiflora
Caryophyllaceae,Eremogone fendleri
Polemoniaceae,Polemonium confertum
Asteraceae,Cirsium funkiae
Asteraceae,Hymenoxys grandiflora
Asteraceae,Hymenoxys grandiflora
Crassulaceae,Sedum lanceolatum
Asteraceae,Senecio soldanella
Orobanchaceae,Castilleja rhexiifolia
Fabaceae,Trifolium nanum
Saxifragaceae,Micranthes rhomboidea
Caryophyllaceae,Silene acaulis
Polemoniaceae,Ipomopsis aggregata
Asteraceae,Senecio atratus
Asteraceae,Hymenoxys grandiflora
Asteraceae,Arnica rydbergii
Orobanchaceae,Pedicularis racemosa
Orobanchaceae,Pedicularis bracteosa
Orobanchaceae,Castilleja occidentalis
Ranunculaceae,Anemone multifida
Orobanchaceae,Pedicularis groenlandica
Boraginaceae,Eritrichium argenteum
Brassicaceae,Braya humilis humilis
Rosaceae,Dryas hookeriana
Plantaginaceae,Penstemon whippleanus
Plantaginaceae,Penstemon hallii
Polemoniaceae,Polemonium viscosum
Asteraceae,Erigeron vagus
Hydrophyllaceae,Phacelia sericea
Orobanchaceae,Castilleja rhexiifolia
Caryophyllaceae,Silene acaulis
Brassicaceae,Erysimum capitatum
Ericaceae,Orthilia secunda
Campanulaceae,Campanula petiolata
Caryophyllaceae,Cherleria obtusiloba
Orobanchaceae,Pedicularis parryi
Montiaceae,Claytonia megarhiza
Asteraceae,Cirsium griseum osterhoutii
Crassulaceae,Rhodiola integrifolia
Saxifragaceae,Heuchera parvifolia
Asteraceae,Achillea millefolium
Gentianaceae,Frasera speciosa
Fabaceae,Trifolium nanum
Fabaceae,Trifolium dasyphyllum
Gentianaceae,Gentianopsis thermalis
Gentianaceae,Gentiana parryi
Polemoniaceae,Polemonium viscosum
Crassulaceae,Sedum lanceolatum
Ranunculaceae,Delphinium barbeyi
Orobanchaceae,Pedicularis bracteosa paysoniana
Gentianaceae,Gentiana parryi
Caryophyllaceae,Silene acaulis
Fabaceae,Trifolium repens
Saxifragaceae,Micranthes rhomboidea
Primulaceae,Androsace septentrionalis
Boraginaceae,Eritrichium argenteum
Gentianaceae,Gentianopsis thermalis
Onagraceae,Chamaenerion angustifolium
Asteraceae,Senecio amplectens
Polemoniaceae,Polemonium viscosum
Crassulaceae,Rhodiola rhodantha
Selaginellaceae,Selaginella densa
Apiaceae,Cymopterus lemmonii
Ranunculaceae,Thalictrum alpinum
Polygonaceae,Oxyria digyna
Caryophyllaceae,Silene acaulis
Orobanchaceae,Castilleja occidentalis
Caprifoliaceae,Valeriana edulis
Asteraceae,Hymenoxys grandiflora
Brassicaceae,Physaria alpina
Montiaceae,Claytonia megarhiza
Caprifoliaceae,Valeriana edulis
Polemoniaceae,Phlox condensata
Orobanchaceae,Pedicularis groenlandica
Campanulaceae,Campanula petiolata
Asteraceae,Senecio amplectens
Asteraceae,Hymenoxys grandiflora
Onagraceae,Chamaenerion latifolium
Parnassiaceae,Parnassia fimbriata
Cyperaceae,Carex ebenea
Rosaceae,Geum rossii
Boraginaceae,Mertensia ciliata
Saxifragaceae,Micranthes rhomboidea
Plantaginaceae,Penstemon harbourii
Polygonaceae,Bistorta bistortoides
Rosaceae,Geum rossii
Pinaceae,Picea pungens
Polemoniaceae,Polemonium viscosum
Polemoniaceae,Phlox condensata
Fabaceae,Trifolium nanum
Pinaceae,Pseudotsuga menziesii glauca
Asteraceae,Cirsium funkiae
Orobanchaceae,Castilleja occidentalis
Orobanchaceae,Pedicularis groenlandica
Brassicaceae,Cardamine cordifolia
Rosaceae,Geum rossii
Violaceae,Viola praemorsa
Orobanchaceae,Castilleja occidentalis
Ranunculaceae,Aquilegia coerulea
Montiaceae,Claytonia megarhiza megarhiza
Caryophyllaceae,Silene acaulis
Polemoniaceae,Phlox multiflora
Hydrophyllaceae,Phacelia sericea
Polygonaceae,Eriogonum coloradense
Rosaceae,Sibbaldia procumbens
Plantaginaceae,Penstemon harbourii
Caryophyllaceae,Silene acaulis
Geraniaceae,Geranium richardsonii
Polygonaceae,Oxyria digyna
Asteraceae,Cirsium funkiae
Plantaginaceae,Veronica wormskjoldii
Liliaceae,Gagea serotina
Melanthiaceae,Anticlea elegans
Polemoniaceae,Polemonium viscosum
Polemoniaceae,Polemonium pulcherrimum delicatum
Pinaceae,Pinus contorta
Orobanchaceae,Castilleja occidentalis
Crassulaceae,Rhodiola integrifolia
Poaceae,Koeleria spicata
Caryophyllaceae,Cherleria obtusiloba
Plantaginaceae,Veronica wormskjoldii
Crassulaceae,Sedum lanceolatum
Primulaceae,Primula angustifolia
Ranunculaceae,Ranunculus macauleyi
Rosaceae,Geum rossii
Campanulaceae,Campanula uniflora
Boraginaceae,Eritrichium argenteum
Gentianaceae,Frasera speciosa
Crassulaceae,Sedum lanceolatum
Linaceae,Linum lewisii
Boraginaceae,Eritrichium argenteum
Violaceae,Viola adunca
Fabaceae,Oxytropis splendens
Asteraceae,Senecio crassulus
Rosaceae,Geum rossii
Rosaceae,Sibbaldia procumbens
Polygonaceae,Oxyria digyna
Brassicaceae,Noccaea fendleri
Orobanchaceae,Castilleja rhexiifolia
Crassulaceae,Sedum lanceolatum
Fabaceae,Trifolium nanum
Asteraceae,Cirsium scopulorum
Crassulaceae,Sedum lanceolatum
Asteraceae,Cirsium scariosum
Caryophyllaceae,Cherleria obtusiloba
Rosaceae,Geum rossii
Fabaceae,Trifolium parryi
Saxifragaceae,Telesonix jamesii
Crassulaceae,Rhodiola rhodantha
Boraginaceae,Eritrichium argenteum
Orobanchaceae,Pedicularis groenlandica
Polygonaceae,Bistorta bistortoides
Asteraceae,Packera werneriifolia
Plantaginaceae,Veronica wormskjoldii
Plantaginaceae,Penstemon whippleanus
Juncaceae,Juncus drummondii
Polemoniaceae,Phlox condensata
Plantaginaceae,Penstemon hallii
Polemoniaceae,Polemonium viscosum
Ranunculaceae,Ranunculus adoneus
Crassulaceae,Rhodiola rhodantha
Asteraceae,Cirsium griseum osterhoutii
Crassulaceae,Rhodiola rhodantha
Asteraceae,Senecio fremontii
Asteraceae,Agoseris glauca
Liliaceae,Erythronium grandiflorum
Caryophyllaceae,Cherleria obtusiloba
Orobanchaceae,Pedicularis bracteosa
Ranunculaceae,Caltha chionophila
Melanthiaceae,Anticlea elegans
Caryophyllaceae,Cherleria obtusiloba
Crassulaceae,Rhodiola integrifolia
Campanulaceae,Campanula petiolata
Caryophyllaceae,Silene drummondii striata
Polygonaceae,Bistorta bistortoides
Caryophyllaceae,Silene acaulis
Asteraceae,Cirsium funkiae
Fabaceae,Trifolium parryi
Plantaginaceae,Penstemon whippleanus
Polemoniaceae,Phlox condensata
Polygonaceae,Eriogonum arcuatum xanthum
Liliaceae,Erythronium grandiflorum
Fabaceae,Trifolium nanum
Onagraceae,Chamaenerion angustifolium
Boraginaceae,Mertensia ciliata
Rosaceae,Geum rossii
Ranunculaceae,Anemone multifida
Polygonaceae,Oxyria digyna
Saxifragaceae,Saxifraga bronchialis
Rosaceae,Dasiphora fruticosa
Polygonaceae,Oxyria digyna
Gentianaceae,Frasera speciosa
Montiaceae,Claytonia megarhiza
Apiaceae,Cymopterus lemmonii
Plantaginaceae,Penstemon whippleanus
Plantaginaceae,Veronica besseya
Caryophyllaceae,Eremogone fendleri
Asteraceae,Hymenoxys grandiflora
Melanthiaceae,Anticlea elegans
Pinaceae,Pinus aristata
Brassicaceae,Physaria alpina
Rosaceae,Geum rossii
Caryophyllaceae,Eremogone fendleri
Ranunculaceae,Delphinium barbeyi
Plantaginaceae,Penstemon whippleanus
Onagraceae,Chamaenerion angustifolium
Poaceae,Phleum alpinum
Rosaceae,Geum rossii
Polygonaceae,Bistorta bistortoides
Crassulaceae,Rhodiola integrifolia
Asteraceae,Erigeron pinnatisectus
Apiaceae,Cymopterus lemmonii
Rosaceae,Sibbaldia procumbens
Rosaceae,Ivesia gordonii
Plantaginaceae,Penstemon whippleanus
Papaveraceae,Papaver coloradense
Rosaceae,Geum rossii
Pinaceae,Picea engelmannii
Rosaceae,Geum rossii turbinatum
Polygonaceae,Bistorta bistortoides
Saxifragaceae,Micranthes foliolosa
Boraginaceae,Mertensia ciliata
Polygonaceae,Oxyria digyna
Asteraceae,Senecio atratus
Plantaginaceae,Veronica besseya
Orobanchaceae,Castilleja rhexiifolia
Asteraceae,Achillea millefolium
Saxifragaceae,Saxifraga bronchialis
Rosaceae,Geum rossii
Orobanchaceae,Castilleja miniata
Asteraceae,Hymenoxys grandiflora
Asteraceae,Senecio soldanella
Orobanchaceae,Castilleja occidentalis
Gentianaceae,Swertia perennis
Cyperaceae,Carex chalciolepis
Liliaceae,Gagea serotina
Brassicaceae,Erysimum capitatum
Plantaginaceae,Penstemon whippleanus
Caryophyllaceae,Cherleria obtusiloba
Crassulaceae,Rhodiola rhodantha
Fabaceae,Trifolium dasyphyllum
Fabaceae,Trifolium dasyphyllum
Caryophyllaceae,Silene acaulis
Polemoniaceae,Phlox condensata
Apiaceae,Cymopterus lemmonii
Plantaginaceae,Penstemon whippleanus
Polygonaceae,Bistorta bistortoides
Asteraceae,Packera werneriifolia
Brassicaceae,Erysimum capitatum
Montiaceae,Lewisia pygmaea
Saxifragaceae,Saxifraga cernua
Montiaceae,Claytonia megarhiza
Asteraceae,Cirsium scopulorum
Pinaceae,Abies lasiocarpa bifolia
Polemoniaceae,Polemonium pulcherrimum
Fabaceae,Trifolium dasyphyllum
Asteraceae,Senecio fremontii
Crassulaceae,Sedum lanceolatum
Boraginaceae,Eritrichium argenteum
Polygonaceae,Oxyria digyna
Asteraceae,Hymenoxys grandiflora
Rosaceae,Geum rossii turbinatum
Asteraceae,Senecio soldanella
Fabaceae,Oxytropis deflexa
Caryophyllaceae,Cherleria obtusiloba
Polemoniaceae,Phlox condensata
Caryophyllaceae,Cherleria obtusiloba
Grossulariaceae,Ribes montigenum
Boraginaceae,Eritrichium argenteum
Crassulaceae,Sedum lanceolatum
Saxifragaceae,Saxifraga flagellaris
Rosaceae,Geum rossii
Crassulaceae,Rhodiola integrifolia
Orobanchaceae,Castilleja miniata
Crassulaceae,Rhodiola rhodantha
Primulaceae,Primula angustifolia
Polygonaceae,Bistorta bistortoides
Fabaceae,Trifolium hybridum
Caryophyllaceae,Silene acaulis
Boraginaceae,Mertensia ciliata
Orobanchaceae,Pedicularis bracteosa
Hydrophyllaceae,Phacelia sericea
Caprifoliaceae,Valeriana edulis
Asteraceae,Senecio crassulus
Boraginaceae,Eritrichium argenteum
Montiaceae,Claytonia megarhiza
Pteridaceae,Cryptogramma acrostichoides
Gentianaceae,Gentiana prostrata
Plantaginaceae,Penstemon virens
Orobanchaceae,Pedicularis groenlandica
Rosaceae,Sibbaldia procumbens
Primulaceae,Primula angustifolia
Fabaceae,Trifolium dasyphyllum
Orobanchaceae,Pedicularis groenlandica
Rosaceae,Geum rossii
Plantaginaceae,Chionophila jamesii
Gentianaceae,Gentiana algida
Brassicaceae,Noccaea fendleri
Ranunculaceae,Aquilegia coerulea
Betulaceae,Betula glandulosa
Asteraceae,Senecio taraxacoides
Polemoniaceae,Polemonium viscosum
Polemoniaceae,Polemonium viscosum
Caryophyllaceae,Eremogone fendleri
Salicaceae,Salix petrophila
Polygonaceae,Eriogonum arcuatum xanthum
Crassulaceae,Sedum lanceolatum
Onagraceae,Chamaenerion angustifolium
Asteraceae,Hymenoxys grandiflora
Rosaceae,Geum rossii
